Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level
Hyaluronic Acid,HYALURONIC ACID,HYALURONIC ACID,,no,no,NA,NA
ZYPREXA Relprevv,OLANZAPINE PAMOATE,Olanzapine pamoate,Arrhythmia,wp,less,"tachycardia, bradycardia",mild
Tigan,TRIMETHOBENZAMIDE HYDROCHLORIDE,Trimethobenzamide Hydrochloride,,no,no,NA,NA
BICILLIN L-A,PENICILLIN G BENZATHINE,PENICILLIN G BENZATHINE,Arrhythmia,ar,less,Cardiac arrest,severe
INVEGA HAFYERA,PALIPERIDONE PALMITATE,paliperidone palmitate,Arrhythmia,wp,most,QT Prolongation,moderate
Aveed,TESTOSTERONE UNDECANOATE,TESTOSTERONE UNDECANOATE,Heart Damage,wp,most,major adverse cardiovascular events (MACE),severe
ARISTADA,ARIPIPRAZOLE LAUROXIL,aripiprazole lauroxil,Mixed,wp,less,hypotension/ tachycardia,mild
Signifor LAR,PASIREOTIDE,PASIREOTIDE,Arrhythmia,wp,most,QT prolongation ,moderate
TRIPTODUR,TRIPTORELIN,triptorelin,Heart Damage,ar,less,Hypertension,mild
VIVITROL,NALTREXONE,naltrexone,Mixed,ar,less,cardiac failure,severe
Apretude,CABOTEGRAVIR,CABOTEGRAVIR SODIUM,,CLINICAL PHARMACOLOGY,no,QT interval is not prolonged ,NA
Fulvestrant,FULVESTRANT,Fulvestrant,,no,no,NA,NA
AQUASOL A,VITAMIN A PALMITATE,VITAMIN A PALMITATE,,sp,ambiguous,hypotension(Pediatric Use),mild
BAL,DIMERCAPROL,Dimercaprol,Mixed,ar,less,tachycardia/blood pressure,mild
Trelstar,TRIPTORELIN PAMOATE,TRIPTORELIN PAMOATE,Mixed,wp,most,sudden cardiac death/prolong the QT interval ,severe
carboprost tromethamine,CARBOPROST TROMETHAMINE,CARBOPROST TROMETHAMINE,Mixed,ar,less,Tachycardia/Hypertension,NA
Hydroxocobalamin,HYDROXOCOBALAMIN,HYDROXOCOBALAMIN ACETATE,,no,no,NA,NA
Cyanocobalamin,CYANOCOBALAMIN,Cyanocobalamin,Heart Damage,ar,less,congestive heart failure,severe
Estradiol Valerate,ESTRADIOL VALERATE,ESTRADIOL VALERATE,Heart Damage,bw,most,myocardial infarction,severe
Testosterone Cypionate,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,Heart Damage,wp,most,major adverse cardiovascular events,severe
Streptomycin,STREPTOMYCIN,STREPTOMYCIN SULFATE,,no,no,NA,NA
Medroxyprogesterone Acetate,MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE ACETATE,Arrhythmia,ar,less,Tachycardia,mild
Haloperidol Decanoate,HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,Mixed,bw,most,sudden death/Torsades de Pointes,severe
Depo-Estradiol,ESTRADIOL CYPIONATE,ESTRADIOL CYPIONATE,Heart Damage,bw,most,myocardial infarction,severe
Haloperidol,HALOPERIDOL LACTATE,Haloperidol Lactate,Mixed,bw,most,sudden death/Torsades de Pointes,severe
ziprasidone mesylate,ZIPRASIDONE MESYLATE,ZIPRASIDONE MESYLATE,Arrhythmia,wp,less,change in QTc from baseline,mild
PENICILLIN G PROCAINE,PENICILLIN G PROCAINE,PENICILLIN G PROCAINE,,no,no,NA,NA
Nandrolone Decanoate,NANDROLONE DECANOATE,Nandrolone Decanoate,,sp,ambiguous,Caution is required for patients with cardiac disease,NA
Bleomycin,BLEOMYCIN,BLEOMYCIN SULFATE,Heart Damage,wp,less,hypotension,mild
Polymyxin B,POLYMYXIN B,POLYMYXIN B SULFATE,,no,no,NA,NA
Magnesium Sulfate,MAGNESIUM SULFATE,MAGNESIUM SULFATE HEPTAHYDRATE,,sp,ambiguous,serious changes in cardiac conduction  in digitalized patients(Drug  Interactions),NA
Premarin,CONJUGATED ESTROGENS,"ESTROGENS, CONJUGATED",Heart Damage,ar,less,Myocardial infarction,severe
CAPASTAT SULFATE,CAPREOMYCIN,capreomycin sulfate,,no,no,NA,NA
INFED,IRON DEXTRAN,IRON DEXTRAN,Mixed,ar,less,patients with pre-existing cardiovascular disease/cardiac arrest,NA
Solu-Cortef,HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE SODIUM SUCCINATE,Heart Damage,wp,less,elevation of blood pressure,mild
Calcium Disodium Versenate,EDETATE CALCIUM DISODIUM,EDETATE CALCIUM DISODIUM,Mixed,wp,less,cardiac rhythm irregularities,mild
Oxytocin,OXYTOCIN,OXYTOCIN,Arrhythmia,ar,less,Premature ventricular contractions,mild
Penicillin G Sodium,PENICILLIN G SODIUM,PENICILLIN G SODIUM,Heart Damage,ar,less,congestive heart failure ,severe
Phentolamine Mesylate,PHENTOLAMINE MESYLATE,Phentolamine Mesylate,Mixed,wp,most,Myocardial infarction/cardiac arrhythmias,severe
Colistimethate Sodium,COLISTIMETHATE SODIUM,Colistimethate Sodium,,no,no,NA,NA
Orphenadrine Citrate,ORPHENADRINE CITRATE,Orphenadrine Citrate,Arrhythmia,ar,less,"tachycardia, palpitation",mild
Midazolam,MIDAZOLAM HYDROCHLORIDE,Midazolam Hydrochloride,Arrhythmia,wp,most,cardiac arrest,severe
Metoclopramide,METOCLOPRAMIDE HYDROCHLORIDE,METOCLOPRAMIDE HYDROCHLORIDE,Mixed,ar,less,cardiac arrhythmias,mild
Penicillin G Potassium,PENICILLIN G POTASSIUM,PENICILLIN G POTASSIUM,Mixed,ar,less,hypotension/tachycardia,mild
pentamidine isethionate,PENTAMIDINE ISETHIONATE,PENTAMIDINE ISETHIONATE,Mixed,wp,less,"cardiac
arrhythmias/hypotension",mild
Diphenhydramine Hydrochloride,DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,Mixed,ar,less,tachycardia,mild
